NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
        144.      0.11469839E+06     -0.16921306E+06     -0.76128862E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        145.      0.11469839E+06     -0.15160661E+06     -0.76573125E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        146.      0.11469839E+06     -0.13400016E+06     -0.77017394E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        147.      0.11469839E+06     -0.11639370E+06     -0.77461662E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        148.      0.11469839E+06     -0.98787242E+05     -0.77905925E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        149.      0.11469839E+06     -0.81180789E+05     -0.78350194E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        150.      0.11469839E+06     -0.63574332E+05     -0.78794456E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        151.      0.11469839E+06     -0.45967875E+05     -0.79238725E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        152.      0.11469839E+06     -0.28361418E+05     -0.79682988E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        153.      0.11469839E+06     -0.10754962E+05     -0.80127256E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        154.      0.11469839E+06      0.68514941E+04     -0.80571519E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        155.      0.11469839E+06      0.24457949E+05     -0.81015788E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        156.      0.11469839E+06      0.42064406E+05     -0.81460050E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        157.      0.11469839E+06      0.59670863E+05     -0.81904319E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        158.      0.11469839E+06      0.77277320E+05     -0.82348581E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        159.      0.11469839E+06      0.94883773E+05     -0.82792850E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        160.      0.11469839E+06      0.11249023E+06     -0.83237119E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        161.      0.11469839E+06      0.13009669E+06     -0.83681381E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        162.      0.11469839E+06      0.14770314E+06     -0.84125650E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        163.      0.11469839E+06      0.16530959E+06     -0.84569912E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        164.      0.11469839E+06      0.18291606E+06     -0.85014181E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        165.      0.11469839E+06      0.20052252E+06     -0.85458444E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
NS ColMember_17.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
        166.      0.11069680E+06      0.21214792E+06      0.83482419E+06     -0.36404812E+04      0.59945355E+03      0.21749756E+06      0.15220000E+04
        167.      0.11069680E+06      0.21664383E+06      0.86212781E+06     -0.36404812E+04      0.59945355E+03      0.21749756E+06      0.15220000E+04
NS ColMember_18.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
        168.      0.11077174E+06      0.18846803E+06     -0.85518088E+06     -0.12130043E+04      0.33356110E+03      0.22278823E+06      0.15370000E+04
        169.      0.11077174E+06      0.19180364E+06     -0.84305081E+06     -0.12130043E+04      0.33356110E+03      0.22278823E+06      0.15370000E+04
        170.      0.11077174E+06      0.19513925E+06     -0.83092081E+06     -0.12130043E+04      0.33356110E+03      0.22278823E+06      0.15370000E+04
        171.      0.11077174E+06      0.19847486E+06     -0.81879075E+06     -0.12130043E+04      0.33356110E+03      0.22278823E+06      0.15370000E+04
        172.      0.11077174E+06      0.20181047E+06     -0.80666069E+06     -0.12130043E+04      0.33356110E+03      0.22278823E+06      0.15370000E+04
        173.      0.11077174E+06      0.20514608E+06     -0.79453069E+06     -0.12130043E+04      0.33356110E+03      0.22278823E+06      0.15370000E+04
        174.      0.11077174E+06      0.20848170E+06     -0.78240062E+06     -0.12130043E+04      0.33356110E+03      0.22278823E+06      0.15370000E+04
        175.      0.11077174E+06      0.21181731E+06     -0.77027056E+06     -0.12130043E+04      0.33356110E+03      0.22278823E+06      0.15370000E+04
        176.      0.11077174E+06      0.21515292E+06     -0.75814056E+06     -0.12130043E+04      0.33356110E+03      0.22278823E+06      0.15370000E+04
        177.      0.11077174E+06      0.21848853E+06     -0.74601050E+06     -0.12130043E+04      0.33356110E+03      0.22278823E+06      0.15370000E+04
        178.      0.11077174E+06      0.22182414E+06     -0.73388044E+06     -0.12130043E+04      0.33356110E+03      0.22278823E+06      0.15370000E+04
        179.      0.11077174E+06      0.22515975E+06     -0.72175044E+06     -0.12130043E+04      0.33356110E+03      0.22278823E+06      0.15370000E+04
        180.      0.11077174E+06      0.22849536E+06     -0.70962038E+06     -0.12130043E+04      0.33356110E+03      0.22278823E+06      0.15370000E+04
