NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
        212.     -0.18813441E+03      0.15221755E-13      0.20524137E+05      0.31679236E-14     -0.11720186E-13      0.16899662E+04
        213.     -0.18809267E+03      0.14858264E-13      0.20000025E+05      0.31960459E-14     -0.10710180E-13      0.19854248E+04
        214.     -0.18802196E+03      0.14494694E-13      0.19475834E+05      0.32232960E-14     -0.97271299E-14      0.22732859E+04
        215.     -0.18792462E+03      0.14131035E-13      0.18951564E+05      0.32496758E-14     -0.87710440E-14      0.25535464E+04
        216.     -0.18780290E+03      0.13767282E-13      0.18427221E+05      0.32751884E-14     -0.78419327E-14      0.28262036E+04
        217.     -0.18765901E+03      0.13403429E-13      0.17902803E+05      0.32998411E-14     -0.69398049E-14      0.30912546E+04
        218.     -0.18749510E+03      0.13039468E-13      0.17378312E+05      0.33236503E-14     -0.60646682E-14      0.33486970E+04
        219.     -0.18731326E+03      0.12675393E-13      0.16853754E+05      0.33465954E-14     -0.52165312E-14      0.35985278E+04
        220.     -0.18711549E+03      0.12311197E-13      0.16329128E+05      0.33687307E-14     -0.43954005E-14      0.38407449E+04
        221.     -0.18690379E+03      0.11946874E-13      0.15804438E+05      0.33900122E-14     -0.36012830E-14      0.40753455E+04
        222.     -0.18668007E+03      0.11582416E-13      0.15279684E+05      0.34105004E-14     -0.28341843E-14      0.43023271E+04
