NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
        177.     -0.25306113E+04     -0.24202358E+04      0.46824985E+04     -0.24001105E+03     -0.24095912E+01     -0.14421457E+02
        178.     -0.25306133E+04     -0.24443130E+04      0.48265815E+04     -0.24001077E+03     -0.24090145E+01     -0.14420334E+02
        179.     -0.25306152E+04     -0.24683845E+04      0.49706533E+04     -0.24001048E+03     -0.24084315E+01     -0.14419176E+02
        180.     -0.25306172E+04     -0.24924504E+04      0.51147134E+04     -0.24001019E+03     -0.24078426E+01     -0.14417985E+02
        181.     -0.25306194E+04     -0.25165105E+04      0.52587622E+04     -0.24000989E+03     -0.24072478E+01     -0.14416759E+02
        182.     -0.25306213E+04     -0.25405647E+04      0.54027988E+04     -0.24000960E+03     -0.24066467E+01     -0.14415500E+02
        183.     -0.25306235E+04     -0.25646133E+04      0.55468232E+04     -0.24000931E+03     -0.24060395E+01     -0.14414206E+02
        184.     -0.25306257E+04     -0.25886558E+04      0.56908350E+04     -0.24000900E+03     -0.24054263E+01     -0.14412878E+02
        185.     -0.25306279E+04     -0.26126924E+04      0.58348340E+04     -0.24000871E+03     -0.24048071E+01     -0.14411516E+02
        186.     -0.25306304E+04     -0.26367229E+04      0.59788193E+04     -0.24000841E+03     -0.24041817E+01     -0.14410120E+02
        187.     -0.25306326E+04     -0.26607473E+04      0.61227910E+04     -0.24000812E+03     -0.24035501E+01     -0.14408689E+02
        188.     -0.25306350E+04     -0.26847656E+04      0.62667490E+04     -0.24000781E+03     -0.24029126E+01     -0.14407225E+02
        189.     -0.25306375E+04     -0.27087778E+04      0.64106924E+04     -0.24000751E+03     -0.24022689E+01     -0.14405726E+02
        190.     -0.25306399E+04     -0.27327837E+04      0.65546216E+04     -0.24000720E+03     -0.24016192E+01     -0.14404194E+02
        191.     -0.25306423E+04     -0.27567834E+04      0.66985356E+04     -0.24000690E+03     -0.24009633E+01     -0.14402628E+02
        192.     -0.25306450E+04     -0.27807766E+04      0.68424341E+04     -0.24000658E+03     -0.24003012E+01     -0.14401027E+02
        193.     -0.25306475E+04     -0.28047634E+04      0.69863174E+04     -0.24000627E+03     -0.23996332E+01     -0.14399392E+02
        194.     -0.25306501E+04     -0.28287439E+04      0.71301846E+04     -0.24000597E+03     -0.23989589E+01     -0.14397723E+02
        195.     -0.25306528E+04     -0.28527178E+04      0.72740356E+04     -0.24000565E+03     -0.23982787E+01     -0.14396020E+02
        196.     -0.25306555E+04     -0.28766851E+04      0.74178696E+04     -0.24000534E+03     -0.23975923E+01     -0.14394283E+02
        197.     -0.25306582E+04     -0.29006458E+04      0.75616870E+04     -0.24000502E+03     -0.23968997E+01     -0.14392512E+02
        198.     -0.25306611E+04     -0.29245996E+04      0.77054873E+04     -0.24000470E+03     -0.23962011E+01     -0.14390707E+02
        199.     -0.25306638E+04     -0.29485469E+04      0.78492700E+04     -0.24000438E+03     -0.23954964E+01     -0.14388868E+02
        200.     -0.25306667E+04     -0.29724873E+04      0.79930347E+04     -0.24000406E+03     -0.23947854E+01     -0.14386995E+02
NS ColMember_2.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
        201.     -0.24690298E+04     -0.20900466E+04     -0.24438900E+05      0.22175552E+03      0.28050969E+01     -0.19246227E+02
        202.     -0.24690295E+04     -0.20619937E+04     -0.24246410E+05      0.22175552E+03      0.28055811E+01     -0.19251877E+02
        203.     -0.24690293E+04     -0.20339358E+04     -0.24053867E+05      0.22175552E+03      0.28060582E+01     -0.19257481E+02
        204.     -0.24690288E+04     -0.20058734E+04     -0.23861270E+05      0.22175552E+03      0.28065307E+01     -0.19263041E+02
        205.     -0.24690281E+04     -0.19778065E+04     -0.23668619E+05      0.22175551E+03      0.28069959E+01     -0.19268555E+02
        206.     -0.24690273E+04     -0.19497352E+04     -0.23475914E+05      0.22175551E+03      0.28074551E+01     -0.19274025E+02
        207.     -0.24690264E+04     -0.19216595E+04     -0.23283158E+05      0.22175549E+03      0.28079085E+01     -0.19279449E+02
        208.     -0.24690251E+04     -0.18935795E+04     -0.23090352E+05      0.22175548E+03      0.28083549E+01     -0.19284830E+02
        209.     -0.24690239E+04     -0.18654952E+04     -0.22897490E+05      0.22175546E+03      0.28087952E+01     -0.19290165E+02
        210.     -0.24690225E+04     -0.18374067E+04     -0.22704580E+05      0.22175545E+03      0.28092296E+01     -0.19295454E+02
        211.     -0.24690210E+04     -0.18093141E+04     -0.22511619E+05      0.22175543E+03      0.28096578E+01     -0.19300699E+02
        212.     -0.24690195E+04     -0.17812174E+04     -0.22318607E+05      0.22175540E+03      0.28100801E+01     -0.19305899E+02
        213.     -0.24690176E+04     -0.17531168E+04     -0.22125545E+05      0.22175539E+03      0.28104966E+01     -0.19311054E+02
        214.     -0.24690159E+04     -0.17250122E+04     -0.21932434E+05      0.22175536E+03      0.28109059E+01     -0.19316164E+02
        215.     -0.24690137E+04     -0.16969037E+04     -0.21739275E+05      0.22175533E+03      0.28113091E+01     -0.19321228E+02
